"stand","temp","hum","elev","landowner","trt","date","year","date_mdy"
9757,40.8428571428571,89.4285714285714,1518.28571428571,"PB","BU","4/19/2023",2023,2023-04-19
10024,56.8571428571429,63.3714285714286,849.571428571429,"WY","BS","5/22/2023",2023,2023-05-22
10078,37.4142857142857,89.8428571428571,1851.71,"WY","HB","3/15/2023",2023,2023-03-15
10153,45.8285714285714,92.7142857142857,2717.42857142857,"WY","BS","5/4/2023",2023,2023-05-04
10185,45.3428571428571,91.0571428571428,2137.85714285714,"WY","BS","4/10/2023",2023,2023-04-10
10258,44.0428571428571,91.8571428571429,1886.28571428571,"WY","BS","3/20/2023",2023,2023-03-20
10302,42.7428571428571,85.6714285714286,2607.28571428571,"BLM","UU","5/1/2023",2023,2023-05-01
10399,50.6714285714286,88.6714285714286,2863.57142857143,"WY","HU","5/9/2023",2023,2023-05-09
10403,58.9,53.6571428571429,2089.57142857143,"WY","BS","3/22/2023",2023,2023-03-22
10422,48.0428571428571,69.4571428571429,1492,"WY","BS","3/30/2023",2023,2023-03-30
10439,44.9571428571429,99.2428571428571,2777.14285714286,"BLM","UU","5/4/2023",2023,2023-05-04
10444,50.5428571428571,55.4857142857143,2159.57142857143,"WY","HU","3/22/2023",2023,2023-03-22
10467,33.0857142857143,89.2142857142857,1550.98,"WY","HB","3/14/2023",2023,2023-03-14
10488,47.9142857142857,67.7142857142857,2359.14285714286,"WY","HB","3/21/2023",2023,2023-03-21
10498,51.9571428571429,74.6,2931,"WY","HB","5/10/2023",2023,2023-05-10
10506,39.4,97.7428571428571,1185.37,"WY","BS","3/13/2023",2023,2023-03-13
10550,41.8857142857143,74.5285714285714,2111.42857142857,"WY","BS","3/30/2023",2023,2023-03-30
10553,62.5,60.7428571428571,2489.28571428571,"WY","HB","5/10/2023",2023,2023-05-10
10597,38.2,87.3428571428571,2527.57142857143,"WY","HB","3/23/2023",2023,2023-03-23
10956,44.1285714285714,74,1758,"WY","BS","3/28/2023",2023,2023-03-28
10963,49.1285714285714,68.0714285714286,2280,"WY","UU","3/21/2023",2023,2023-03-21
10965,52.8714285714286,76.8,2799,"WY","HB","5/9/2023",2023,2023-05-09
10968,59.0857142857143,69.9428571428572,2639.42857142857,"WY","HU","5/3/2023",2023,2023-05-03
11079,39.8428571428571,94.8428571428571,1897.42857142857,"WY","HB","3/20/2023",2023,2023-03-20
12033,66.1857142857143,56.9,1829.71428571429,"ODF","BU","4/26/2023",2023,2023-04-26
12098,53.0571428571429,74.1428571428571,1598.28571428571,"ODF","BU","5/2/2023",2023,2023-05-02
12213,55.4142857142857,71.5428571428571,662.571428571429,"BLM","UU","4/24/2023",2023,2023-04-24
12239,49.6,61.4285714285714,709.11,"BLM","UU","3/15/2023",2023,2023-03-15
12349,55.4285714285714,75.5142857142857,1524.85714285714,"ODF","BU","5/2/2023",2023,2023-05-02
12351,66.1,43.1142857142857,1521.42857142857,"ODF","BU","5/23/2023",2023,2023-05-23
12362,63.4571428571429,55.2,1951.71428571429,"ODF","HB","4/25/2023",2023,2023-04-25
12364,58.6857142857143,64.9285714285714,1678.71428571429,"ODF","HB","4/25/2023",2023,2023-04-25
12392,56,77.2714285714286,2016,"ODF","BU","5/11/2023",2023,2023-05-11
12421,61.1428571428571,60.5285714285714,2011.57142857143,"ODF","BU","4/27/2023",2023,2023-04-27
12441,75.1142857142857,42.5285714285714,1940.85714285714,"ODF","BU","4/27/2023",2023,2023-04-27
12560,57.8285714285714,64.2857142857143,1396.85714285714,"ODF","BU","4/26/2023",2023,2023-04-26
12804,46.8285714285714,97.4142857142857,1611.57142857143,"ODF","BU","5/8/2023",2023,2023-05-08
12805,46.2714285714286,89.9285714285714,1763.28571428571,"ODF","BU","5/8/2023",2023,2023-05-08
13924,37.3571428571429,83.6428571428571,897.9,"BLM","UU","3/16/2023",2023,2023-03-16
15562,50.9571428571429,57.0714285714286,1219.14285714286,"BLM","BU","3/27/2023",2023,2023-03-27
16804,49.4857142857143,75.6142857142857,1619.71428571429,"BLM","BU","3/29/2023",2023,2023-03-29
20039,59.7428571428571,48.8142857142857,3040.14285714286,"WY","HU","6/1/2023",2023,2023-06-01
20053,57.5857142857143,56.2714285714286,2435.42857142857,"WY","HU","6/1/2023",2023,2023-06-01
20550,56.8,62.8285714285714,1839.71428571429,"WY","HU","6/2/2023",2023,2023-06-02
20616,65.7142857142857,67.3,1149.14285714286,"WY","UU","5/15/2023",2023,2023-05-15
21026,71.6857142857143,50.6714285714286,3261.14285714286,"WY","HU","5/17/2023",2023,2023-05-17
21159,81.3571428571429,46.0285714285714,2896.85714285714,"WY","HU","5/17/2023",2023,2023-05-17
25954,54.4571428571429,58.0571428571429,1078.71428571429,"BLM","BU","5/23/2023",2023,2023-05-23
29121,75.4,52.4142857142857,1350.14285714286,"BLM","UU","5/15/2023",2023,2023-05-15
29122,67.5428571428571,68.3142857142857,1493.85714285714,"BLM","UU","5/16/2023",2023,2023-05-16
29123,59.1857142857143,80.3,1392.42857142857,"BLM","UU","5/16/2023",2023,2023-05-16
29429,67.7714285714286,69.1428571428571,1635.42857142857,"BLM","UU","5/18/2023",2023,2023-05-18
29431,66.8714285714286,54.3285714285714,1692.85714285714,"WY","UU","6/2/2023",2023,2023-06-02
29889,59.4428571428571,78.5285714285714,1743.42857142857,"BLM","UU","5/18/2023",2023,2023-05-18
33628,46.1714285714286,84.5714285714286,1651.71428571429,"PB","HB","4/6/2023",2023,2023-04-06
33651,42.1857142857143,96.1285714285714,1833.57142857143,"PB","HB","4/11/2023",2023,2023-04-11
33689,53.6142857142857,80.9142857142857,1848.42857142857,"PB","HU","4/6/2023",2023,2023-04-06
33754,45.1714285714286,64.9714285714286,1541.28571428571,"PB","HU","4/5/2023",2023,2023-04-05
33810,45.1714285714286,100,2430.85714285714,"PB","HU","4/10/2023",2023,2023-04-10
34007,46.8857142857143,58.9,2206.85714285714,"PB","HB","4/17/2023",2023,2023-04-17
34017,47.9285714285714,84.6142857142857,631,"PB","HU","4/20/2023",2023,2023-04-20
408143,43.4857142857143,84.0142857142857,1426.14285714286,"PB","HU","4/4/2023",2023,2023-04-04
408161,46.4428571428571,70.6571428571429,1843,"PB","HU","4/5/2023",2023,2023-04-05
408162,40.8285714285714,87.2571428571429,2027.42857142857,"PB","HU","4/12/2023",2023,2023-04-12
408180,37.9285714285714,100,1947.85714285714,"PB","HB","4/11/2023",2023,2023-04-11
4081781,49.1142857142857,73.7714285714286,1528.57142857143,"PB","BS","4/18/2023",2023,2023-04-18
4081782,42.3571428571429,68.7285714285714,1774,"PB","HB","4/19/2023",2023,2023-04-19
9757,63.6,49,1452,"PB","BU","04/10/24",2024,2024-04-10
10024,53.8,72.3,834,"WY","BS","03/26/24",2024,2024-03-26
10078,43.4,83.2,1923,"WY","HB","04/03/24",2024,2024-04-03
10153,46.8,96,2588,"WY","BS","05/08/24",2024,2024-05-08
10302,51.2,73.3,2502,"BLM","UU","04/24/24",2024,2024-04-24
10399,40.7,94,2828,"WY","HU","05/07/24",2024,2024-05-07
10403,64.5,59,2141,"WY","BS","05/15/24",2024,2024-05-15
10422,62.1,67.2,1445,"WY","BS","04/09/24",2024,2024-04-09
10439,43,88.8,2791,"BLM","UU","04/25/24",2024,2024-04-25
10444,70.8,50.7,2151,"WY","HU","05/15/24",2024,2024-05-15
10463,55.2,64.4,1388,"WY","BS","04/09/24",2024,2024-04-09
10467,53.5,59.7,1523,"WY","HB","04/09/24",2024,2024-04-09
10506,56.4,75.6,1292,"WY","BS","03/26/24",2024,2024-03-26
10956,50.5,65.7,1813,"WY","BS","04/03/24",2024,2024-04-03
10968,43.8,80.6,2662,"WY","HU","05/07/24",2024,2024-05-07
11081,69.5,46.9,1965,"WY","BS","05/09/24",2024,2024-05-09
11084,59.9,61.5,2152,"WY","BS","05/09/24",2024,2024-05-09
12033,61.8,60.9,1832,"ODF","BU","05/13/24",2024,2024-05-13
12213,60.1,57.6,634,"BLM","UU","04/11/24",2024,2024-04-11
12239,51.2,78.1,671,"BLM","UU","04/11/24",2024,2024-04-11
12349,52.5,78.3,1592,"ODF","BU","05/02/24",2024,2024-05-02
12362,43.4,92.4,1967,"ODF","HB","04/15/24",2024,2024-04-15
12364,49,100,1801,"ODF","HB","04/15/24",2024,2024-04-15
12421,57.5,67.5,2025,"ODF","BU","05/14/24",2024,2024-05-14
12441,65.8,64.7,1883,"ODF","BU","05/14/24",2024,2024-05-14
12560,57.1,33.5,1438,"ODF","BU","04/18/24",2024,2024-04-18
12776,69.4,23.6,1379,"ODF","BU","04/18/24",2024,2024-04-18
12804,44.2,84,1708,"ODF","BU","04/30/24",2024,2024-04-30
12805,40.2,86.6,1742,"ODF","BU","04/30/24",2024,2024-04-30
12806,49.6,77.8,1626,"ODF","BU","05/02/24",2024,2024-05-02
13924,61.2,56.7,989,"BLM","UU","04/01/24",2024,2024-04-01
15562,54.4,61.5,1399,"BLM","BU","04/01/24",2024,2024-04-01
20039,48.2,100,3113,"WY","HU","05/01/24",2024,2024-05-01
20053,40.9,75.2,2487,"WY","HU","05/01/24",2024,2024-05-01
20550,64.7,57.6,1825,"WY","HU","04/02/24",2024,2024-04-02
20616,53.5,76.3,1160,"WY","UU","03/21/24",2024,2024-03-21
29121,44.4,90.5,1357,"BLM","UU","03/25/24",2024,2024-03-25
29122,43.1,100,1620,"BLM","UU","03/27/24",2024,2024-03-27
29123,46.3,92,1435,"BLM","UU","03/27/24",2024,2024-03-27
29429,46.7,62.5,1520,"BLM","UU","04/16/24",2024,2024-04-16
29431,67.9,49.7,1711,"BLM","UU","04/02/24",2024,2024-04-02
29889,48.6,58.1,1711,"BLM","UU","04/16/24",2024,2024-04-16
33628,73.9,25.7,1741,"PB","HB","04/23/24",2024,2024-04-23
33651,69.9,28.2,1820,"PB","HB","04/23/24",2024,2024-04-23
33689,67.8,40.5,1985,"PB","HU","04/22/24",2024,2024-04-22
33810,47.3,89.1,2324,"PB","HU","04/25/24",2024,2024-04-25
34007,56.4,43.3,2133,"PB","HB","04/22/24",2024,2024-04-22
34017,49.7,68.2,660,"PB","HU","03/28/24",2024,2024-03-28
408143,58.4,65.2,1556,"PB","HU","05/08/24",2024,2024-05-08
